Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 107.0.0.0,,,2022-10-31 20:04:15,2022-10-31 20:06:09,1m - 53.745s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Registrasi/REGIS001 - User want to register with account registered,Chrome 107.0.0.0,,,2022-10-31 20:04:25,2022-10-31 20:04:53,28.112s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-10-31 20:04:25,2022-10-31 20:04:31,6.414s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Masuk""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:04:32,2022-10-31 20:04:34,1.704s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Daftar di sini""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:04:34,2022-10-31 20:04:36,2.187s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Nama""), [""nama"":""ageng""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:04:36,2022-10-31 20:04:38,2.005s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Email""), [""email"":""agengjobb@gmail.com""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:04:38,2022-10-31 20:04:41,2.419s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Input Password""), [""password"":""Cobain23""], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:04:41,2022-10-31 20:04:43,2.220s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click btn Daftar""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:04:43,2022-10-31 20:04:45,1.863s,PASSED
delay(7),Chrome 107.0.0.0,,,2022-10-31 20:04:45,2022-10-31 20:04:52,7.043s,PASSED
Start listener action : afterTestCase,Chrome 107.0.0.0,,,2022-10-31 20:04:52,2022-10-31 20:04:53,1.166s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature Registrasi/REGIS002 - User want to register without nama,Chrome 107.0.0.0,,,2022-10-31 20:04:53,2022-10-31 20:05:13,19.751s,PASSED
Start listener action : beforeTestCase,Chrome 107.0.0.0,,,2022-10-31 20:04:53,2022-10-31 20:04:57,4.319s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Masuk""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:04:58,2022-10-31 20:05:00,1.296s,PASSED
"callTestCase(findTestCase(""Pages/UserRegister/Click Link Daftar di sini""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-31 20:05:00,2022-10-31 20:05:01,1.410s,PASSED
